Longitude,Latitude,Site_Name,Radiocarbon Age bp,Standard Deviation,lower 2 sigma calibrated date  (using OxCal),upper 2 sigma calibrated date,Calibrated 2 sigma range  median ,Lab Number,Country/State,Reference
-73.69,42.07,Hudson River,1050,50,,,,P-84969,,"Little (2002) #16) NY, Hudson R., 211-1-1(32), P-84969, k (Cassedy & Webb 1999) 1050 ± 50b 890(1000)1150"
-104.79249,39.447798,Franktown Cave,892,36,,,,AA60692,,Gilmore (2005) AA60692 plant corn cob   892+/-36 (AD 1035-1219) [https://portfolio.du.edu/pc/port.detail?id=98062]
-108.072602,33.93043,Bat Cave,3120,70,3548,3083,3388,A-4188,US Southwest/New Mexico,Merrill et al. 2009; Wills 1988
-110.96,32.33,Cortaro Fan,2790,60,3063,2766,2897,,,B. Roth 1989; Hard and Roney 1998:1664
-111.180617,32.269378,Costello-King,2780,60,3060,2760,2884,,,"Huckle 2006, HOM:100   2780+/-60"
-110.610084,31.676802,Donaldson,2505,50,2743,2366,2580,,,"Huckle 2006, HOM:100   2505+/-50"
-110.21,31.87,Fairbank,2815,80,3160,2761,2936,,,Huckell 1990; Hard and Roney 1998:1664
-105.857694,32.949361,Fresnal Shelter,2945,55,3320,2953,3112,AA-6402,,"Tagg 1991:317; Hard and Roney 1998:1664; From Kevin Hanselka on the ground measurement 32 56'57.7""N, 105 51'27.7""W    =   32.949361 N,  105.857694 W"
-106.687167,35.792028,Jemez,2410,360,3374,1626,2484,,,Adams 1994:279
-108,34.6,LA18091,2720,265,3479,2157,2855,UGa-4179,,Simmons 1986; Hard and Roney 1998:1664
-110.595216,31.584088,Los Ojitos,2170,170,2710,1813,2172,,,"Huckle 2006, HOM:100   2170+/-170"
-110.039633,33.119099,McEuen Cave,3690,50,4220,3886,4030,CAMS-43177,,Merrill et al. 2009; Huber and Van West 2005; Huckell et al. 2001; Mabry 2005
-110.787573,32.171669,Milagro,2930,45,3242,2953,3090,,,"Huckell et al. 1995; Hard and Roney 1998:1664; Huckle 2006, HOM:100"
 , ,"Clearwater, Congress St. Locus",3690,40,4148,3909,4030,Beta-175842,,Merrill et al. 2009; Mabry 2006
,,"Los Pozos, Sweetwater",3340,60,3720,3410,3575,Beta-124111,,Merrill et al. 2009; Gregory 1999
-108.951357,34.490966,Old Corn (LA 137258),3810,50,4410,4013,4207,Beta-185023,,Merrill et al. 2009; Huber and Van West 2005
-106.587335,35.660011,San Luis de Cabezon,3125,45,3447,3245,3352,AA-34173,,"Huckle 2006, HOM:100"
-108.27,36.59,Sheep Camp Shelter,2290,210,2838,1823,2326,A-3396,,Simmons 1986:79
-110.230238,36.523297,Three Fir Shelter,3610,170,4416,3485,3940,Beta-26275,,Merrill et al. 2009; Smiley 1994
,,Square Hearth,3505,65,3972,3631,3780,AA-13257,US Southwest/Arizona,Merrill et al. 2009; Mabry et al. 1997
,,Lukachukai,3455,45,3841,3590,3725,AA-9317,US Southwest/Arizona,Merrill et al. 2009; Gilpin 1994
-106.596343,32.096864,Tornillo Shelter,3175,240,3979,2791,3396,GX-12720,US Southwest/New Mexico,Upham et al. 1987; From Huckell Map 2006
-108.541227,34.00947,Tularosa Cave,1920,40,1969,1735,1867,Beta-166755,  ,Jaenicke-Despris et al. 2003:1207; location From Huckell Map 2006
-111.052713,32.31975,Valley Farms,3145,50,3468,3251,3372,AA-28496,US Southwest/Arizona,"Merrill et al. 2009; Freeman 2000; Huckle 2006, HOM:100"
-111.05,32.45,West End,2735,75,3060,2739,2847,,,Huckell 1990; Hard and Roney 1998:1664
